,val_loss
847,"108.0655, "
848,"112.1659, "
849,"116.2766, "
850,"103.3136, "
851,"124.6456, "
852,"103.5304, "
853,"115.8182, "
854,"111.1761, "
855,"120.2793, "
856,"88.9351, "
857,"122.2309, "
858,"109.1222, "
859,"109.9213, "
860,"108.0390, "
861,"105.1570, "
862,"111.8676, "
863,"122.2031, "
864,"113.8907, "
865,"117.0099, "
866,"126.6159, "
867,"93.0536, "
868,"87.1545, "
869,"99.0071, "
870,"105.1399, "
871,"112.1825, "
872,"110.6039, "
873,"82.6337, "
874,"109.1481, "
875,"102.7819, "
876,"116.8281, "
877,"138.6810, "
878,"107.6488, "
879,"96.8494, "
880,"94.8236, "
881,"91.3424, "
882,"107.2671, "
883,"111.4239, "
884,"94.9009, "
885,"113.9477, "
886,"127.1600, "
887,"102.8062, "
888,"120.2024, "
889,"108.6862, "
890,"107.7866, "
891,"100.8991, "
892,"99.2087, "
893,"124.1931, "
894,"94.6909, "
895,"108.3346, "
896,"106.0658, "
897,"111.5704, "
898,"105.6564, "
899,"113.6057, "
900,"101.6357, "
901,"106.4403, "
902,"111.8905, "
903,"112.1139, "
904,"124.8595, "
905,"99.2936, "
906,"104.6913, "
907,"105.1362, "
908,"122.6863, "
909,"122.0219, "
910,"113.8448, "
911,"99.7976, "
912,"106.8962, "
913,"103.5135, "
914,"113.7537, "
915,"105.1079, "
916,"100.7969, "
917,"95.5025, "
918,"118.9621, "
919,"102.2092, "
920,"109.5831, "
921,"116.2114, "
922,"90.2110, "
923,"114.3039, "
924,"86.2780, "
925,"116.2972, "
926,"108.6451, "
927,"110.1093, "
928,"110.9245, "
929,"109.1901, "
930,"103.9065, "
931,"109.9137, "
932,"101.9089, "
933,"92.7487, "
934,"81.6632, "
935,"123.4023, "
936,"101.3571, "
937,"115.5199, "
938,"120.0614, "
939,"126.1651, "
940,"93.9787, "
941,"124.1752, "
942,"103.6599, "
943,"108.3770, "
944,"94.5648, "
945,"114.5669, "
946,"114.2480, "
947,"104.3866, "
948,"95.3133, "
949,"115.9777, "
950,"107.4011, "
951,"100.2887, "
952,"100.8195, "
953,"98.5900, "
954,"94.8257, "
955,"99.7593, "
956,"118.5901, "
957,"93.6224, "
958,"101.9486, "
959,"102.9407, "
960,"105.8931, "
961,"106.1054, "
962,"120.9535, "
963,"114.1982, "
964,"106.9984, "
965,"105.1237, "
966,"127.0844, "
967,"95.7150, "
968,"106.9654, "
969,"123.2675, "
970,"110.5163, "
971,"102.6212, "
972,"111.8690, "
973,"95.8486, "
974,"111.1910, "
975,"100.8441, "
976,"114.2048, "
977,"125.8466, "
978,"110.7793, "
979,"117.6337, "
980,"106.4907, "
981,"112.4726, "
982,"103.2251, "
983,"111.5311, "
984,"118.9111, "
985,"103.5145, "
986,"101.4936, "
987,"108.5092, "
988,"101.8875, "
989,"101.6884, "
990,"96.1479, "
991,"101.3266, "
992,"100.7088, "
993,"108.7993, "
994,"77.5265, "
995,"110.5431, "
996,"113.5185, "
997,"97.6201, "
998,"121.3763, "
999,"98.2675, "
1000,"115.0123, "
1001,"103.0424, "
1002,"95.1452, "
1003,"117.5846, "
1004,"102.5438, "
1005,"99.3563, "
1006,"135.7823, "
1007,"112.6868, "
1008,"117.0888, "
1009,"115.5480, "
1010,"115.9149, "
1011,"104.0342, "
1012,"115.6842, "
1013,"80.2903, "
1014,"107.7087, "
1015,"123.7936, "
1016,"117.4335, "
1017,"120.9693, "
1018,"110.5033, "
1019,"105.5101, "
